Title,Image URL,Description
The Rookie,https://es.web.img3.acsta.net/c_310_420/pictures/18/05/16/09/29/5203734.jpg,"The Rookie sigue la historia de John Nolan, un hombre de cuarenta años que decide dejar su cómoda vida en un pequeño pueblo para trasladarse a la ciudad de Los Ángeles a cumplir su sueño de convertirse en policía. Así, se tiene que enfrentar a los retos que plantea el mundo criminal para los agentes recién llegados a la profesión. Talia, una de sus superiores, obliga a Nolan a confrontar sus inclinaciones morales en uno de sus primeros días después de encontrarse con una víctima de secuestro. Por otro lado, Lucy se coloca temporalmente con un nuevo oficial de entrenamiento que pone a prueba su paciencia."
Peaky Blinders,https://es.web.img2.acsta.net/c_310_420/pictures/15/10/23/08/59/222051.jpg?coixp=45&coiyp=64,"Peaky Blinders es un drama de BBC que narra la historia de la familia gitana Shelby y su banda de gángsters, un grupo de personas características por sus boinas con cuchillas y dueñas de los asuntos ilegales, que dominan las apuestas clandestinas y se rigen mediante extorsiones. La historia comienza en el Birmingham (Reino Unido) de los años 20 cuando un joven Tomas (Tommy) Shelby regresa de la guerra tras combatir contra los franceses para ocuparse del negocio familiar regentado, durante su ausencia, por su tía Polly Gray. Sin embargo, una vez que llega a su tierra, todo son problemas. Dirigir un negocio criminal no es tarea fácil, y menos si aún están presente las secuelas psicológicas que conlleva estar en la guerra. Además, los desencuentros políticos hacen que se cree una brecha entre su mejor amigo de la infancia Freddie, con ideas comunistas, y su hermana Ada, quienes mantienen una relación a espaldas de la familia y, sobre todo, de Tommy. Las disputas también aparecen en el terreno de lo profesional, pues tiene varios encontronazos con diferentes enemigos, siendo el más importante un capitán de policía recién llegado de Belfast que se ha propuesto limpiar el lugar de criminales, gángsters y todo aquel que esté en contra de las leyes que dicta el país, siendo su principal cometido el de recuperar unas armas interceptadas por los Shelby. Peaky Blinders está protagonizada por la estrella Cillian Murphy, protagonista de Luces rojas; y Sam Neill (Plan de Escape). Además, el creador y guionista de la serie se trata nada menos que de Steven Knight, creador de la historia de Promesas del Este."
Chicago PD,https://es.web.img3.acsta.net/c_310_420/pictures/15/09/24/09/51/514754.jpg,"Chicago PD cuenta la historia del Departamento de Policía de Windy Cities de Chicago y se trata del 'spin-off' de Chicago Fire de NBC. La serie se centra en la patrulla de Policía y la Unidad de Inteligencia que persigue a los responsables de los delitos en la ciudad, crimen organizado, el tráfico de estupefacientes y homicidios mayores. En el departamento está el detective Hank Voight (Jason Beghem, 'Phantom'), el inspector Antonio Dawson (Jon Seda, 'Una bala en la cabeza'), la oficial de policía Nicole (Tania Raymonde, 'Perdidos'), un miembro del equipo de investigación CPD que tiene un pasado un tanto sospechado y que nadie conoce, entre otros."
Justified: La Ley de Raylan,https://es.web.img3.acsta.net/c_310_420/pictures/14/04/01/12/14/467030.jpg,"'Justified' es un drama policíaco basado en las novelas 'Pronto' y 'Riding the rap' y en el cuento 'Fire in the hole', todos ellos de Elmore Leonard. Está ambientada en las montañas de Kentucky, Estados Unidos, y es Timothy Olyphant ('The office', 'Damages') quien da vida a Raylan Givens, protagonista de la serie. Raylan Givens es un oficial, 'chapado a la antigua' que abandonó Kentucky a la temprana edad de 19 años, decidido a no volver, y que ahora vive en Miami. Allí es donde trabaja y donde se toma la justicia por su cuenta pero, tras un desafortunado accidente en el que mata a un hombre en un acto más que justificado para él, se ve obligado a volver a su tierra natal. Es entonces cuando regresa al condado de Harlan, Kentucky, se tiene que enfrentar a todo tipo de criminales a pesar de seguir ejerciendo su profesión de la misma forma que lo hacía en Miami. En su regreso a su ciudad de origen se reencuentra con viejos conocidos como su padre, delincuente, Winona, su ex mujer, y un gran número de personas a las que hacía años que no veía y que han evolucionado de manera muy diferente."
Bright Minds,https://es.web.img3.acsta.net/c_310_420/pictures/19/03/21/16/47/4408459.jpg,"Astrid et Raphaëlle, Bright Minds en España, es una serie policial que sigue a dos mujeres policía fuertes que forman un equipo para luchar contra el crimen y resolver los casos de asesinato más difíciles del país. Astrid es discreta, ordenada y sufre del síndrome de Asperger que afecta a la interacción social recíproca y a la comunicación verbal. Es una mujer metódica y organizada que necesita puntos de referencia y no tolera la improvisación ni las situaciones inesperadas. Por otro lado, Raphaëlle es totalmente opuesta a Astrid. Es madre de un hijo, espontánea, le cuesta mucho centrarse y desordenada. Su día a día cambiará radicalmente cuando se encuentra en su vida con Astrid, la misma que gracias a sus conocimientos, la ayudará a resolver casos más complicados."
Shetland,https://es.web.img3.acsta.net/c_310_420/medias/nmedia/18/96/66/98/20482429.jpg,"Miniseria dramática de corte policial en la que un detective regresa a su pueblo natal tras varios años de ausencia. Las islas Shetland son el hogar natal del detective Jimmy Perez (Douglas Henshall, 'The Kidnap Diaries', 'The Silence'), pero lo dejó atrás para iniciar su carrera como investigador. Ahora, años después, ha regresado a casa dispuesto a defender a sus compatriotas y vecinos de cualquier mal que amenace la tranquila vida de las islas. Por ello, cuando un joven arqueólogo encuentra algunos huesos humanos que evidencian muertas violentas y una mujer es asesinada de un disparo, Jimmy y su equipo deciden encontrar a los responsables a como dé lugar. De esta forma se ve atrapado entre dos importantes familias marcadas por el odio, la envidia y la traición, y cuyo enfrentamiento a dividido a los tranquilos habitantes de las Shetland."
NAVY: Investigación criminal,https://es.web.img3.acsta.net/c_310_420/pictures/14/02/21/12/35/496849.jpg,"Serie de la CBS que sigue los casos de un grupo de agentes del servicio de investigación de la Marina. Esta producción surge como 'spin-off' de 'JAG: Alerta Roja' y es presentada en la misma mediante un episodio doble de la octava temporada, donde se introduce el concepto de la nueva serie y se presenta a sus personajes. Ambas ficciones llegan de manos del creador Donald P. Bellisario. El Investigador Jefe de esta brigada es Leroy Jethro Gibbs (Mark Harmon, 'El ala oeste de la Casa Blanca', 'Ponte en mi lugar'), ex Sargento de Infantería de la Marina, francotirador experimentado e infalible en los interrogatorios. El resto del equipo estña formado por los agentes especiales Kate Todd (Sasha Alexander, 'Dawson Crece') y Tony DiNozzo (Michael Weatherly, 'Dark Angel') entre otros. El Servicio de Investigación Criminal Naval, que responde al acrónimo NCIS -de ahí el título de la serie original-, es la principal agencia estadounidense en seguridad, refuerzo de leyes, contrainteligencia y contraterrorismo de la Marina. A casos de esta índole se enfrentarán nuestros protagonistas para mantener la seguridad de los miembros de la armada de EE.UU. y sus familias."
True Detective,https://es.web.img3.acsta.net/c_310_420/pictures/14/01/17/13/00/493022.jpg,"True Detective es una serie thriller dramática que en cada una de sus temporadas nos presenta, en formato antológico y con una narrativa independiente, varias investigaciones policiales que desenterrarán los secretos personales y profesionales de los agentes involucrados. Martin Hart y Rustin Cohle son la pareja de detectives que, durante diecisiete años, siguen la pista de un asesino en serie que comete terribles asesinatos ligados a rituales satánicos. Intentando establecer un patrón para resolver estos monstruosos crímenes la relación de Cohle y Hart se irá fracturando. Mientras, se verán inmersos en una obsesiva espiral que les llevará a una turbia conspiración de desapariciones ligada a un pastor evangélico de las altas esferas del poder político de Luisiana. Por su parte, las vidas de los agentes Ray Velcoro, Ani Bezzerides y Paul Woodrugh se cruzan al descubrir que un funcionario municipal ha sido asesinado. Obligados a trabajar juntos, a medida que avanza la investigación de este crimen, los detectives encuentran vínculos con una turbia trama de corrupción urbanística y extorsión a poderosas personalidades con vídeos sexuales, una trama que conecta con un misterioso robo de diamantes que ocasionó un sangriento doble asesinato muchos años antes. En Arkansas, Wayne Hays y Roland West investigan la extraña desaparición de dos hermanos. Cuando el cuerpo del niño aparece en un bosque, asesinado con señales de aparentes rituales de brujería, el caso da un vuelco perturbador. Mientras la niña permanece desaparecida y tratan de encontrarla, el caso seguirá abierto y esto perturbará emocionalmente las vidas personales de los dos investigadores. Ennis, un lejano pueblo de Alaska donde la noche invernal puede durar más de 24 horas. Allí seis hombres que trabajan en la Estación de investigación ártica desaparecen sin dejar rastro. Para tratar de esclarecer los hechos, las detectives Liz Danvers y Evangeline Navarro tendrán que enfrentarse a la oscuridad para indagar la turbia verdad que yace enterrada bajo el hielo."
Crimen en el paraíso,https://es.web.img3.acsta.net/c_310_420/pictures/15/08/25/13/33/099067.jpg,"'Crimen en el paraíso' es una coproducción franco-británica rodada en Guadalupe creada por Robert Thorogood para la BBC. La serie narra los casos de un policía inglés en la isla caribeña de Saint-Marie. Richard Poole (Ben Miller, 'El príncipe y yo', 'Oscura seducción') es un policía inglés con un escaso sentido del humor y una gran determinación a la hora de resolver casos. Metódico, intuitivo y excesivamente cuidadoso a la hora de analizar las pruebas, su carácter antisocial y distante no son un inconveniente a la hora de ser un buen policía. Cuando viaja a la isla caribeña de Saint-Marie con el objetivo de resolver el asesinato de un compañero, no se imagina que su destino es convertirse en el nuevo Inspector Jefe de la localidad, a pesar de sus reticencias. Desde el primer momento Richard deberá lidiar con su nueva compañera, la decidida e independiente Camille (Sara Martins, 'Pequeñas mentiras sin importancia', 'Paris, je t´aime'), una policía de origen francés especializada en misiones encubiertas. También contará con la ayuda del joven detective Fidel Best (Gary Carr, 'Londres: Distrito Criminal') y la sargento Lily Thomson (Lenora Crichlow, 'Cacería', 'Being Human '). Con caracteres totalmente opuestos, las ideas de uno y otro no tardarán en chocar. Pero, si quieren acabar con el crimen en la paradisíaca isla, deben trabajar juntos."
S.W.A.T. Los hombres de Harrelson,https://es.web.img3.acsta.net/c_310_420/pictures/17/05/17/17/04/361994.jpg,"S.W.A.T. es una ficción policial y militar que sigue al teniente afro-americano del equipo SWAT (Special Weapons And Tactics, Armas y Tácticas Especiales) que es el responsable de organizar y coordinar a un nuevo equipo de militares altamente capacitados para trabajar en todo tipo de casos, y serán los encargados de resolver una serie de crímenes de Los Ángeles. Sin embargo, esa no será la única dificultad que se encuentre en su camno, pues el teniente está constantemente dividido entre la lealtad a sus compañeros y la que siente por la gente de la calle.Esta ficción es un 'reboot' de la serie homónima de 1975, que a su vez tuvo varias adaptaciones cinematográficas con las películas S.W.A.T. Los hombres de Harrelson (2003) y S.W.A.T.: Operación especial (2011)."
