Title,Link,Image URL
Suits: L.A.,https://www.sensacine.com/series/serie-35365/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
The Big Bang Theory Spin-off,https://www.sensacine.com/series/serie-34377/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Machos Alfa,https://www.sensacine.com/series/serie-31439/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
El juego del calamar,https://www.sensacine.com/series/serie-29898/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
La que se avecina,https://www.sensacine.com/series/serie-5502/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Alice in Borderland,https://www.sensacine.com/series/serie-27439/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Castle,https://www.sensacine.com/series/serie-4178/video-19547408/,https://es.web.img2.acsta.net/c_310_420/pictures/14/02/24/13/38/392567.jpg
Rapa,https://www.sensacine.com/series/serie-29691/video-19570503/,https://es.web.img3.acsta.net/c_310_420/pictures/22/05/05/15/36/3670053.jpg
Ley y orden,https://www.sensacine.com/series/serie-72/video-19419633/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Vivir sin permiso,https://www.sensacine.com/series/serie-21947/video-19559804/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Ludwig,https://www.sensacine.com/series/serie-34762/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
La ley de Lidia Poët,https://www.sensacine.com/series/serie-33642/video-19572297/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
ACI: Alta Capacidad Intelectual,https://www.sensacine.com/series/serie-25616/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Homeland,https://www.sensacine.com/series/serie-9285/video-19356666/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Found,https://www.sensacine.com/series/serie-31131/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
The Equalizer,https://www.sensacine.com/series/serie-26152/video-19566706/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Los misterios de Murdoch,https://www.sensacine.com/series/serie-3919/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Sherlock,https://www.sensacine.com/series/serie-4528/video-19353104/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Boardwalk Empire,https://www.sensacine.com/series/serie-4531/video-19552524/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Ley y Orden: crimen organizado,https://www.sensacine.com/series/serie-26420/video-19568896/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
La caza,https://www.sensacine.com/series/serie-11041/video-19535938/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Peaky Blinders,https://www.sensacine.com/series/serie-11303/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Hijos de la anarquía,https://www.sensacine.com/series/serie-3859/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
The Wire,https://www.sensacine.com/series/serie-30/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Sherlock,https://www.sensacine.com/series/serie-4528/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Better Call Saul,https://www.sensacine.com/series/serie-16950/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Lucifer,https://www.sensacine.com/series/serie-18145/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
El caballero de los Siete Reinos,https://www.sensacine.com/series/serie-28230/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Alien: Planeta Tierra,https://www.sensacine.com/series/serie-27910/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Dexter: Resurrection,https://www.sensacine.com/series/serie-37286/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
The Dark Tower,https://www.sensacine.com/series/serie-9771/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Suits: L.A.,https://www.sensacine.com/series/serie-35365/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
The Big Bang Theory Spin-off,https://www.sensacine.com/series/serie-34377/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Machos Alfa,https://www.sensacine.com/series/serie-31439/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
El juego del calamar,https://www.sensacine.com/series/serie-29898/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
La que se avecina,https://www.sensacine.com/series/serie-5502/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Alice in Borderland,https://www.sensacine.com/series/serie-27439/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
